"","idmen","maxn"
"266",1202492073510100,1
"267",1202492075690100,3
"268",1202492089680100,3
"269",1202492113300100,3
"270",1202492124040100,5
"271",1202603023470100,1
"272",1202603030630100,2
"273",1202603067050100,2
"274",1202603088460100,2
"275",1202603094370100,5
"276",1202603108800100,4
"277",1202633020920100,2
"278",1202633032540100,5
"279",1202633089680100,2
"280",1202651073620100,1
"281",1202682012180100,2
"282",1202682020920100,1
"283",1202682041200100,4
"284",1202682042350100,2
"285",1202682099400100,6
"286",1202682114470100,2
"287",1202738051020100,5
"288",1202738057530100,3
"289",1202738103840100,1
"290",1202738106930100,2
"291",1202738125520100,2
"292",1202827017390100,2
"293",1202827018040100,1
"294",1202827026420100,4
"295",1202827039590100,3
"296",1202827052310100,1
"297",1202827112370100,2
"298",1202827112370101,2
"299",1202827113300100,1
"300",1202827122680100,5
"301",1202837012180100,4
"302",1202837025180100,1
"303",1202837031690100,1
"304",1202837039590100,2
"305",1202837053790100,1
"306",1202837122680100,1
"307",1202839018040100,1
"308",1202839020060100,3
"309",1202839031690100,2
"310",1202839034710100,2
"311",1202839040950100,8
"312",1202839042350100,2
"313",1202839044120100,2
"314",1202839051650100,2
"315",1202839052310100,4
"316",1202839101420100,4
"317",1202839118640100,4
"318",1202969015750100,2
"319",1202969108800100,3
"320",1203194016060100,3
"321",1203194017600100,4
"322",1203194042000100,2
"323",1203194066630100,4
"324",1203194109060100,1
"325",1203194122680100,5
"326",1203298014970100,5
"327",1203298075690100,1
"328",1203298082030100,1
"329",1203298087500100,4
"330",1203298103840100,2
"331",1203298124040100,4
"332",1203387014970100,5
"333",1203387034710100,4
"334",1203387057530100,2
"335",1203387073230100,4
"336",1203387073510100,2
"337",1203387073620100,4
"338",1203387092030100,4
"339",1203387094370100,4
"340",1203387101960100,2
"341",1203387106930100,1
"342",1203431023470100,3
"343",1203431039590100,2
"344",1203431051650100,1
"345",1203431057410100,2
"346",1203431075690100,3
"347",1203431088460100,2
"348",1203431113300100,4
"349",1203431114960100,2
"350",1203431126670100,3
"351",1203516015750100,4
"352",1203516020060100,1
"353",1203516042350100,2
"354",1203516043310100,3
"355",1203516043310101,1
"356",1203516057590100,5
"357",1203516073230100,5
"358",1203516088460100,2
"359",1203516091130100,5
"360",1203516121140100,3
"361",1203518016060100,2
"362",1203518073230100,2
"363",1203518073230200,1
"364",1203518088460100,3
"365",1203518124040100,1
"366",1203559023850100,3
"367",1203559051770100,2
"368",1203559073620100,2
"369",1203559075690100,4
"370",1203559113300100,2
"371",1203559115750100,2
"372",1203747067860100,8
"373",1203747092030100,4
"374",1203747092030101,3
"375",1203747092030102,1
"376",1203778013160100,3
"377",1203778032540100,2
"378",1203868018040100,4
"379",1203868027210100,4
"380",1203868039370100,2
"381",1203868042350100,4
"382",1203868045130100,1
"383",1203868058220100,3
"384",1203868099390100,1
"385",1203868122680100,1
"386",1203933010270100,1
"387",1203933016060100,2
"388",1203933016060101,1
"389",1203933017600100,1
"390",1203933115750100,2
"391",1203974032540100,1
"392",1203974040950100,2
"393",1203974075690100,1
"394",1203974095380100,2
"395",1203974106930100,2
"396",1203974113300100,4
"397",1203974125520100,5
"398",1203974126670100,1
"399",1203986010270100,5
"400",1203986011670100,1
"401",1203986055140100,2
"402",1203986091130100,1
"403",1203986108800100,1
"404",1204014016060100,2
"405",1204014032540100,3
"406",1204014039590100,2
"407",1204014053790100,1
"408",1204014059260100,3
"409",1204014073230100,4
"410",1204021033220100,9
"411",1204021063150100,2
"412",1204021106930100,2
"413",1204021121140100,2
"414",1204135017070100,5
"415",1204135057410100,1
"416",1204135057410200,1
"417",1204135059550100,1
"418",1204135073620100,2
"419",1204135106580100,2
"420",1204135118740100,2
"421",1204199018040100,1
"422",1204199039370100,2
"423",1204199058220100,1
"424",1204199078730100,3
"425",1204199095500100,1
"426",1204199115750100,4
"427",1204199122680100,2
"428",1204363033220100,2
"429",1204363042350100,6
"430",1204363058220100,2
"431",1204363059260100,4
"432",1204363089680100,1
"433",1204363095500100,3
"434",1204411039370100,5
"435",1204411052310100,2
"436",1204411066630100,2
"437",1204411082030100,1
"438",1204411088460100,2
"439",1204411102990100,3
"440",1204411113300100,1
"441",1204495015750100,2
"442",1204495082030100,4
"443",1204495092030100,2
"444",1204495099400100,1
"445",1204495102990100,1
"446",1204495122000100,2
"447",1204532013160100,1
"448",1204532094370100,4
"449",1204532104200100,4
"450",1204532124060100,4
"451",1204644020060100,2
"452",1204644033220100,2
"453",1204644067050100,4
"454",1204644104200100,4
"455",1204644121140100,2
"456",1204661001000100,1
"457",1204661017070100,4
"458",1204661055140100,2
"459",1204661073620100,1
"460",1204661086440100,1
"461",1204661094370100,4
"462",1204661103840100,2
"463",1204661113300100,5
"464",1204661118640100,2
"465",1204725012930100,3
"466",1204725023850100,5
"467",1204725039590100,1
"468",1204725057530100,2
"469",1204725067860100,4
"470",1204725082450100,2
"471",1204725106930100,2
"472",1204725118450100,1
"473",1204725124040100,2
"474",1204796013160100,4
"475",1204796020540100,3
"476",1204796057590100,3
"477",1204796073230100,2
"478",1204796087500100,2
"479",1204796088460100,1
"480",1204796101420100,1
"481",1204796101960100,1
"482",1204833012180100,3
"483",1204833020920100,1
"484",1204833025180100,5
"485",1204833051770100,2
"486",1204833101960100,2
"487",1204833108800100,2
"488",1204833124060100,2
"489",1204850016060100,2
"490",1204850063150100,2
"491",1204850067050100,1
"492",1204850099390100,5
"493",1204850101420100,1
"494",1204850108800100,2
"495",1204850118740100,3
"496",1204850125520100,3
"497",1204958012180100,1
"498",1204958031690100,2
"499",1204958109060100,2
"500",1204958118740100,3
"501",1204958122000100,2
"502",1204958124040100,3
"503",1205191001000100,3
"504",1205191027210100,2
"505",1205191043310100,3
"506",1205191073620100,6
"507",1205191081230100,2
"508",1205191106930100,2
"509",1205191112370100,3
"510",1205191126670100,1
"511",1205459016060100,1
"512",1205459051650100,4
"513",1205459059260100,4
"514",1205459081230100,1
"515",1205459121140100,4
"516",1205459125520100,4
"517",1205464040580100,4
"518",1205537010270100,4
"519",1205537017390100,1
"520",1205537032540100,2
"521",1205537039370100,1
"522",1205537053790100,3
"523",1205537104200100,2
"524",1205537109060100,3
"525",1205537117610100,2
"526",1205537126670100,1
"527",1205579017600100,1
"528",1205579043310100,4
"529",1205579066630100,1
"530",1205579109060100,1
"531",1205685010270100,1
"532",1205685043310100,4
"533",1205685073620100,1
"534",1205685081230100,1
"535",1205685113300100,1
"536",1205686012180100,1
"537",1205686013160100,3
"538",1205686027210100,4
"539",1205686034710100,2
"540",1205686067860100,3
"541",1205686082030100,1
"542",1205686092030100,4
"543",1206083026420100,3
"544",1206083033220100,1
"545",1206083057530100,4
"546",1206083082030100,4
"547",1206083106580100,5
"548",1206124001000100,2
"549",1206124013160100,2
"550",1206124013160101,1
"551",1206124020060100,2
"552",1206124086440100,1
"553",1206124099390100,1
"554",1206457016060100,3
"555",1206457066630100,3
"556",1206457086440100,2
"557",1206457089680100,2
"558",1206457089680200,1
"559",1206457095500100,4
"560",1206457112370100,2
"561",1206457113300100,2
"562",1206457124060100,2
"563",1206477015750100,1
"564",1206477020920100,2
"565",1206477023470100,1
"566",1206477051020100,4
"567",1206477051770100,3
"568",1206477058220100,4
"569",1206477091130100,5
"570",1206477118640100,3
"571",1206791017390100,2
"572",1206791018040100,3
"573",1206791026420100,2
"574",1206791051650100,1
"575",1206791064920100,2
"576",1206791075690100,2
"577",1206791108800100,5
"578",1206865017070100,2
"579",1206865017600100,4
"580",1206865030630100,1
"581",1206865039370100,5
"582",1206865082450100,2
"583",1206865084110100,3
"584",1206865095500100,5
"585",1206947025180100,4
"586",1206947042000100,4
"587",1206947057410100,3
"588",1206947058220100,5
"589",1206947082030100,1
"590",1206947113300100,1
"591",1207144051770100,1
"592",1207144055140100,3
"593",1207144078730100,1
"594",1207144082450100,2
"595",1207144095500100,5
"596",1207144118450100,4
"597",1207144118740100,1
"598",1207144122000100,2
"599",1207480001240100,2
"600",1207480020540100,3
"601",1207480067860100,2
"602",1207480101960100,2
"603",1207480106580100,3
"604",1207480106580200,1
"605",1207480124060100,1
"606",1207670017390100,2
"607",1207670039590100,4
"608",1207670042000100,1
"609",1207670059550100,2
"610",1207670082030100,5
"611",1207670102990100,3
"612",1207670106580100,1
"613",1207759010270100,3
"614",1207759016060100,3
"615",1207759017600100,1
"616",1207759042350100,3
"617",1207759053790100,2
"618",1207759057590100,4
"619",1207759067050100,4
"620",1207759075690100,5
"621",1207759103840100,3
"622",1207759104200100,3
"623",1207764001240100,1
"624",1207764014970100,3
"625",1207764017070100,1
"626",1207764017070200,1
"627",1207764017600100,2
"628",1207764040580100,1
"629",1207764043310100,2
"630",1207764084110100,1
"631",1207764099400100,6
"632",1207764117610100,3
"633",1207764118740100,1
"634",1207764118740200,1
"635",1207811011670100,2
"636",1207811011670101,3
"637",1207811040580100,2
"638",1207811066630100,2
"639",1207811067050100,3
"640",1207811086440100,1
"641",1207833013160100,1
"642",1207833023470100,2
"643",1207833081230100,2
"644",1207833094370100,1
"645",1207833095500100,2
"646",1207833101420100,2
"647",1207833106580100,3
"648",1207833110640100,2
"649",1207833124040100,1
"650",1207833124060100,2
"651",1207839051020100,1
"652",1207839073620100,2
"653",1207839094370100,3
"654",1207839103840100,1
"655",1207839125520100,1
"656",1207886010270100,2
"657",1207886017600100,1
"658",1207886039370100,2
"659",1207886051770100,3
"660",1207886057530100,3
"661",1207886095380100,3
"662",1207886101960100,3
"663",1207886102990100,1
"664",1207886106930100,3
"665",1207886125520100,2
"666",1207953057590100,4
"667",1207953059260100,2
"668",1207953067050100,2
"669",1207953067860100,4
"670",1207953094370100,1
"671",1207953102990100,2
"672",1207953110640100,1
"673",1207980020540100,2
"674",1207980039590100,3
"675",1207980052310100,4
"676",1207980073230100,1
"677",1207980095380100,3
"678",1207980101960100,4
"679",1207980121140100,2
"680",1207980124060100,3
"681",1207989030630100,2
"682",1207989043310100,1
"683",1207989051650100,1
"684",1207989073620100,2
"685",1207989123980100,1
"686",1207989126670100,3
"687",1208001001240100,1
"688",1208001012620100,2
"689",1208001045130100,4
"690",1208001051650100,2
"691",1208001055140100,4
"692",1208001067860100,3
"693",1208001092030100,2
"694",1208001101960100,3
"695",1208001109060100,3
"696",1208001110640100,2
"697",1208001125520100,5
"698",1208044013160100,3
"699",1208044015750100,4
"700",1208044063150100,3
"701",1208044082030100,5
"702",1208044095380100,4
"703",1208044103840100,3
"704",1208044121140100,2
"705",1208044124060100,3
"706",1208045017600100,1
"707",1208045026420100,2
"708",1208045055140100,3
"709",1208045075690100,1
"710",1208045082450100,2
"711",1208045084110100,4
"712",1208045087500100,4
"713",1208045088460100,3
"714",1208045112370100,2
"715",1208045114960100,1
"716",1208045118450100,10
"717",1208045126670100,4
"718",1208080026420100,3
"719",1208080051770100,2
"720",1208080067050100,2
"721",1208080073230100,4
"722",1208080089680100,2
"723",1208080089680200,1
"724",1208080104200100,2
"725",1208087001000100,1
"726",1208087001240100,5
"727",1208087017070100,2
"728",1208087030630100,2
"729",1208087040950100,2
"730",1208087073230100,3
"731",1208087081230100,2
"732",1208087112370100,2
"733",1208087117610100,2
"734",1208087124040100,2
"735",1208112042000100,5
"736",1208112051650100,2
"737",1208112067050100,1
"738",1208112073510100,2
"739",1208112091130100,1
"740",1208112095500100,1
"741",1208112101420100,2
"742",1208116052310100,3
"743",1208116059550100,1
"744",1208116067860100,4
"745",1208116067860101,2
"746",1208116082030100,5
"747",1208116082030101,1
"748",1208116123980100,1
"749",1208160014970100,5
"750",1208160020920100,1
"751",1208160039590100,1
"752",1208160067050100,2
"753",1208160067860100,4
"754",1208160067860101,1
"755",1208160073510100,4
"756",1208160078730100,1
"757",1208160110640100,4
"758",1208160122000100,1
"759",1208163017070100,3
"760",1208163020540100,4
"761",1208260012930100,4
"762",1208260020920100,5
"763",1208260025180100,1
"764",1208260055140100,4
"765",1208260110640100,1
"766",1208471020060100,4
"767",1208471030630100,4
"768",1208471039590100,2
"769",1208471040950100,6
"770",1208471051020100,2
"771",1208471086440100,2
"772",1208471117610100,2
"773",1208484011670100,1
"774",1208484014970100,3
"775",1208484040580100,1
"776",1208484118640100,2
"777",1208484118740100,3
"778",1208484122000100,3
"779",1208566020060100,1
"780",1208566032540100,2
"781",1208566034710100,3
"782",1208566042350100,2
"783",1208566064920100,1
"784",1208566084110100,5
"785",1208566088460100,4
"786",1208632020540100,2
"787",1208632067050100,4
"788",1208632067860100,2
"789",1208632103840100,1
"790",1208819020540100,2
"791",1208819027210100,2
"792",1208819092030100,2
"793",1208819101960100,3
"794",1208819110640100,2
"795",1209201039590100,2
"796",1209201044120100,6
"797",1209201057530100,4
"798",1209201064920100,2
"799",1209201078730100,3
"800",1209201095500100,4
"801",1209205012930100,5
"802",1209205018040100,5
"803",1209205020060100,2
"804",1209205051650100,6
"805",1209205058220100,2
"806",1209205089680100,5
"807",1209205095500100,3
"808",1209205099390100,2
"809",1209205110640100,5
"810",1209215010270100,2
"811",1209215020920100,3
"812",1209215053790100,2
"813",1209215055140100,1
"814",1209215057530100,2
"815",1209215063150100,4
"816",1209215073510100,1
"817",1209215084110100,4
"818",1209215092030100,3
"819",1209215108800100,6
"820",1209215115750100,2
"821",1209360040580100,3
"822",1209360042350100,1
"823",1209360064920100,5
"824",1209360073620100,4
"825",1209360084110100,1
"826",1209360112370100,2
"827",1209360118450100,4
"828",1209360125520100,2
"829",1209443034710100,2
"830",1209443042000100,2
"831",1209443057530100,2
"832",1209443078730100,2
"833",1209443082030100,1
"834",1209443099390100,4
"835",1209443118640100,2
"836",1209485015750100,5
"837",1209485016060100,4
"838",1209485017070100,1
"839",1209485032540100,2
"840",1209485040950100,2
"841",1209485042350100,2
"842",1209485053790100,1
"843",1209485063150100,2
"844",1209485066630100,1
"845",1209485099390100,3
"846",1209485099390101,1
"847",1209518012620100,3
"848",1209518015750100,2
"849",1209518073510100,1
"850",1209518082450100,1
"851",1209518101420100,3
"852",1209518102990100,2
"853",1209518102990101,1
"854",1209518106930100,1
"855",1209518118450100,1
"856",1209518118640100,1
"857",1209552014550100,2
"858",1209552020540100,2
"859",1209552027210100,3
"860",1209552027210101,1
"861",1209552039370100,3
"862",1209552042350100,1
"863",1209552045130100,7
"864",1209552057590100,5
"865",1209552058220100,1
"866",1209552059550100,5
"867",1209552073890100,2
"868",1209552099390100,2
"869",1209552101960100,2
"870",1209557018040100,1
"871",1209557088460100,2
"872",1209557099390100,2
"873",1209589010270100,1
"874",1209589012180100,2
"875",1209589012180200,1
"876",1209589023470100,1
"877",1209589031690100,3
"878",1209589051770100,2
"879",1209589091130100,1
"880",1209589108800100,1
"881",1209589117610100,1
"882",1209600053790100,2
"883",1209600055140100,4
"884",1209600073620100,4
"885",1209621011670100,2
"886",1209621043310100,2
"887",1209621051650100,2
"888",1209621095380100,1
"889",1209621095500100,2
"890",1209621113300100,2
"891",1209621124060100,1
"892",1209667010270100,2
"893",1209667025180100,1
"894",1209667051770100,2
"895",1209667059550100,1
"896",1209667115750100,5
"897",1209727020540100,2
"898",1209727051020100,3
"899",1209727067860100,1
"900",1209752020540100,2
"901",1209752057590100,1
"902",1209752084110100,2
"903",1209752086440100,1
"904",1209752095380100,1
"905",1209752121140100,4
"906",1209883067860100,4
"907",1210069001240100,2
"908",1210069057410100,4
"909",1210069057530100,1
"910",1210069073230100,1
"911",1210069073510100,1
"912",1210069106580100,3
"913",1210069106930100,1
"914",1210086012180100,3
"915",1210086032540100,6
"916",1210086059550100,2
"917",1210086086440100,4
"918",1210086088460100,4
"919",1210086091130100,4
"920",1210086092030100,2
"921",1210180001000100,1
"922",1210180012930100,2
"923",1210180015750100,2
"924",1210180027210100,1
"925",1210180066630100,3
"926",1210180067050100,1
"927",1210180073510100,1
"928",1210180086440100,2
"929",1210180126670100,4
"930",1210184023470100,2
